company	current_location	ssn	name	mail	user_id	residence	username	birthdate	address	registration	blood_group	station_ID
小林農林合同会社	(Decimal('32.168477'), Decimal('9.804478'))	302-73-9054	清水 英樹	takuma47@gmail.com	1770		snakajima	1937-03-07	岩手県多摩市二つ室27丁目2番7号	2020-08-15	B-	464
Gray, Cunningham and Morales	(Decimal('-80.289857'), Decimal('2.308813'))	499-92-6793	Nicholas Campbell	curtis06@yahoo.com	946		benjamin02	1993-05-15	"0515 Angela Run
Port Thomasberg, GU 35535"	2018-11-30	A-	109
Walter	(Decimal('63.5169555'), Decimal('-48.876252'))	925-81-9055	Raissa Rose	junkgisbert@yahoo.de	2010		jkoehler		"Louise-Stey-Platz 79
88420 Bremervörde"	05/09/2025, 00:00:00	O-	462
有限会社遠藤銀行	(Decimal('-71.015803'), Decimal('140.978474'))	175-19-6965	後藤 知実	morimomoko@gmail.com	1100		yamaguchikana	2000-08-20	岡山県横浜市青葉区西小来川26丁目5番4号 南郷屋コーポ985	10/21/2022, 00:00:00	B-	191
Munari s.r.l.	(Decimal('-58.1525245'), Decimal('-120.099037'))	FRSMRL26C50L167Z	Eraldo Anguillara	bpergolesi@poste.it	1247		guglielmomicheletti			2024-11-26	B+	588
合同会社佐々木鉱業	(Decimal('18.553087'), Decimal('118.064446'))	327-25-2091	伊藤 康弘	minorusaito@hotmail.com	179		gabe		宮崎県江戸川区柿木沢33丁目17番5号	09 Mar 2024	A-	670
Moore, Newton and Johnson	(Decimal('23.206840'), Decimal('0.815895'))	299-81-8944	Shawn Brown	ksanchez@yahoo.com	1093		griffinmegan	1957-02-11	"1978 Stanley Route
Leebury, GU 37796"	21 Jan 2019	A-	321
Lindau Scholtz KG	(Decimal('77.741783'), Decimal('-0.952238'))	536-21-7698	Lia Köster	zflantz@yahoo.de	1726		jozefscholz	2011-08-08		18 Feb 2022	AB-	391
Moreira - ME	(Decimal('13.456199'), Decimal('-41.529478'))	19265408324	Maria Luísa Barbosa	theodoro52@bol.com.br	640		da-motasara		"Chácara de Dias, 87
Mariquinhas
94653-719 da Cunha de Goiás / RN"	2020-11-24	B+	540
松本建設合同会社	(Decimal('-46.2731235'), Decimal('113.240674'))	626-84-0773	岡田 花子	kondotsubasa@yahoo.com	1878		sotaro11		広島県印西市芝大門24丁目10番15号 山中新田パーク643	15 Nov 2019	A+	148
Pizziol-Bianchini e figli	(Decimal('13.870987'), Decimal('-102.852535'))	TRSCRT05L26I496K	Alina Padovano	danieletamburello@libero.it	817		ksatriani	2003-08-29	"Strada Giusti, 80
50020, Mercatale Val Di Pesa (FI)"	2021-10-02	AB+	360
Nogueira S/A	(Decimal('45.174245'), Decimal('-136.322790'))	10546397875	Larissa Sales	ribeiroisabelly@gmail.com	219		vcorreia		"Vila de Fogaça, 18
Sion
99145435 Pacheco / RS"	10/31/2021, 00:00:00	AB-	644
